year,type,country,activity,sex,fatal,species,especies
2018,Boat,usa,Paddling,F,N,white shark,white shark
2018,Unprovoked,usa,Standing,F,N,unknown,
2018,Invalid,usa,Surfing,M,N,unknown,
2018,Unprovoked,australia,Surfing,M,N,m shark,
2018,Provoked,mexico,Free diving,M,N,"tiger shark, ",tiger shark
2018,Unprovoked,australia,Kite surfing,M,N,unknown,
2018,Unprovoked,brazil,Swimming,M,Y,tiger shark,tiger shark
2018,Unprovoked,usa,Fishing,M,N,"lemon shark, ",lemon shark
2018,Unprovoked,usa,Walking,M,N,"bull shark, ",bull shark
2018,Unprovoked,usa,Standing,M,N,unknown,
2018,Provoked,australia,Feeding sharks,M,N,grey reef shark,reef shark
2018,Unprovoked,usa,Boogie boarding,M,N,unknown,
2018,Unprovoked,usa,Swimming,M,N,unknown,
2018,Invalid,england,Fishing,M,N,invalid incident,
2018,Provoked,australia,Feeding sharks,F,N,"tawny nurse shark, ",nurse shark
2018,Unprovoked,south africa,Surfing,M,N,unknown,
2018,Questionable,australia,Surfing,M,N,shark involvement not confirmed,
2018,Unprovoked,thailand,Swimming,M,N,unknown,
2018,Unprovoked,costa rica,Scuba diving,M,N,tiger shark,tiger shark
2018,Unprovoked,australia,Surfing,M,N,unknown,
2018,Questionable,australia,Surfing,M,N,questionable,
2018,Unprovoked,australia,Surfing,M,N,m shark,
2018,Unprovoked,australia,Surfing,M,N,"white shark, m",white shark
2018,Unprovoked,maldives,Fishing,M,N,tiger shark,tiger shark
2018,Unprovoked,south africa,Paddle-skiing,M,N,"white shark, m",white shark
2018,Unprovoked,usa,Body boarding,M,N, shark,
2018,Unprovoked,thailand,Swimming,M,N,juvenile bull shark,bull shark
2018,Unprovoked,brazil,Swimming,M,Unknown,unknown,
2018,Unprovoked,australia,Surfing,M,N,unknown,
2018,Unprovoked,australia,Surfing,M,N,unknown,
2018,Unprovoked,bahamas,Surfing,M,N,tiger shark,tiger shark
2018,Invalid,brazil,Fishing,M,N,shark involvement not confirmed,
2018,Unprovoked,new caledonia,Windsurfing,Unknown,N,m shark,
2018,Unprovoked,bahamas,Swimming,M,N,bull shark,bull shark
2018,Unprovoked,south africa,Surfing,M,N,white shark,white shark
2018,Unprovoked,usa,Stand-Up Paddleboarding,M,N,"tiger shark, ",tiger shark
2018,Unprovoked,australia,Wading,M,N,wobbegong shark,wobbegong shark
